Abreviación;Abrev. Guest;Descripción;Resultado;Rótulo;Muestra;Del Host;Al Guest;Al Host;Método;Unidades;Val. Ref. 1;Val. Ref. 2;Val. Ref. 3;Val. Ref. 4;Val. Ref. 5
HPR;773;17-HIDROXI PROGESTERONA;17-HIDROXIPROGESTERONA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml.;Hombre adulto 0.5 a 2.1 ng/ml  Mujeres.fase folicular: 0.1 a 0.8 ng/ml  Mujeres fase lútea: 0.6 a 2.3 ng/ml  Mujeres postmenopausia: 0.1 a 0.6 ng/ml  1-3 meses hasta 13.7 ng/ml  Prepúberes hasta 1.7 ng/ml;;;;
;HPG;;17-HIDROXIPROGESTERONA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml.;Hombre adulto 0.5 a 2.1 ng/ml  Mujeres.fase folicular: 0.1 a 0.8 ng/ml  Mujeres fase lútea: 0.6 a 2.3 ng/ml  Mujeres postmenopausia: 0.1 a 0.6 ng/ml  1-3 meses hasta 13.7 ng/ml  Prepúberes hasta 1.7 ng/ml;;;;
NU5;NUC;5-NUCLEOTIDASA;"5"" NUCLEOTIDASA";SUERO;0;No;Si;Si;Cinético UV;U/L;Hasta 10.0 U/L;;;;
;702;;"5"" NUCLEOTIDASA";SUERO;0;Si;Si;Si;Cinético UV;U/L;Hasta 10.0 U/L;;;;
ACTH;6;ACTH CORTICOTROFINA;ACTH - CORTICOTROFINA;P/E.D.T.A;0;Si;Si;Si;Quimioluminiscencia;pg/ml.;de 0 a 46;;;;
;ACT;;ACTH - CORTICOTROFINA;P/E.D.T.A;0;No;Si;Si;Quimioluminiscencia;pg/ml.;de 0 a 46;;;;
ALD;18;ALDOLASA;ALDOLASA;SUERO;0;Si;Si;Si;Espectrofotometría;U/L;Hasta 7,60;;;;
;ALS;;ALDOLASA;SUERO;0;No;Si;Si;Espectrofotometría;U/L;Hasta 7,60;;;;
ALR;19;ALDOSTERONA PLASMATICA;ALDOSTERONA SERICA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/dl;- Adulto de pie: de 2.5 a 39.2;- Adulto acostado: de 1.8 a 23.2;;;
;ALD;;ALDOSTERONA SERICA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/dl;- Adulto de pie: de 2.5 a 39.2;- Adulto acostado: de 1.8 a 23.2;;;
A1AT;57;ALFA 1 ANTITRIPSINA;alfa 1 antitrip.suero(nro.ent);SUERO;0;Si;Si;Si;Inmunoturbidimétrico;g/l;0.9 a 2.0;;;;
;A1AT;;alfa 1 antitrip.suero(nro.ent);SUERO;0;No;Si;Si;Inmunoturbidimétrico;g/l;0.9 a 2.0;;;;
